DEBUG:root:Time[171285.89150 ms]: Job[65], START, G20-G21-G22-G23
DEBUG:root:Time[172820.97443 ms]: Job[66], ARRIVE, mobilenet-4
DEBUG:root:Time[172820.97443 ms]: Job[66], START, G24-G25-G26-G27
DEBUG:root:Time[174957.38872 ms]: Job[66], END, 2136.4142857152037
DEBUG:root:Time[177586.85506 ms]: Job[67], ARRIVE, gpt-4
DEBUG:root:Time[177586.85506 ms]: Job[67], START, G24-G25-G26-G27
DEBUG:root:Time[178271.68702 ms]: Job[62], END, 10714.245730994095
DEBUG:root:Time[179854.27225 ms]: Job[68], ARRIVE, mobilenet-1
DEBUG:root:Time[179854.27225 ms]: Job[68], START, G10
DEBUG:root:Time[180811.28994 ms]: Job[58], END, 21428.491461988335
DEBUG:root:Time[180871.53845 ms]: Job[67], END, 3284.683391812956
DEBUG:root:Time[181562.47225 ms]: Job[68], END, 1708.2000000000116
DEBUG:root:Time[182978.59138 ms]: Job[69], ARRIVE, gpt-2
DEBUG:root:Time[182978.59138 ms]: Job[69], START, G4-G5
DEBUG:root:Time[189169.15812 ms]: Job[70], ARRIVE, gpt-2
DEBUG:root:Time[189169.15812 ms]: Job[70], START, G6-G7
DEBUG:root:Time[193665.75937 ms]: Job[71], ARRIVE, gpt-2
DEBUG:root:Time[193665.75937 ms]: Job[71], START, G10-G11
DEBUG:root:Time[194069.23849 ms]: Job[63], END, 25199.352124754514
DEBUG:root:Time[194128.05643 ms]: Job[72], ARRIVE, gpt-4
DEBUG:root:Time[194128.05643 ms]: Job[72], START, G12-G13-G14-G15
DEBUG:root:Time[194730.19785 ms]: Job[73], ARRIVE, mobilenet-4
DEBUG:root:Time[194730.19785 ms]: Job[73], START, G24-G25-G26-G27
DEBUG:root:Time[196520.74527 ms]: Job[74], ARRIVE, resnet50-4
DEBUG:root:Time[196520.74527 ms]: Job[74], START, G28-G29-G30-G31
DEBUG:root:Time[197876.98640 ms]: Job[75], ARRIVE, gpt-4
DEBUG:root:Time[197876.98640 ms]: Job[75], START, G32-G33-G34-G35
DEBUG:root:Time[198077.24689 ms]: Job[73], END, 3347.0490476204723
DEBUG:root:Time[198942.57868 ms]: Job[59], END, 36263.600935672584
DEBUG:root:Time[200131.93770 ms]: Job[65], END, 28846.046198830358
DEBUG:root:Time[200292.27284 ms]: Job[70], END, 11123.114717350865
DEBUG:root:Time[203438.09873 ms]: Job[69], END, 20459.50734892636
DEBUG:root:Time[204261.49130 ms]: Job[74], END, 7740.746031745279
DEBUG:root:Time[206463.60674 ms]: Job[64], END, 36263.60093567241
DEBUG:root:Time[207122.86593 ms]: Job[75], END, 9245.879532164137
DEBUG:root:Time[207510.34146 ms]: Job[76], ARRIVE, mobilenet-1
DEBUG:root:Time[207510.34146 ms]: Job[76], START, G0
DEBUG:root:Time[208581.09711 ms]: Job[77], ARRIVE, resnet50-2
DEBUG:root:Time[208581.09711 ms]: Job[77], START, G1-G2
DEBUG:root:Time[209809.84146 ms]: Job[76], END, 2299.5
DEBUG:root:Time[210059.03105 ms]: Job[78], ARRIVE, gpt-2
DEBUG:root:Time[210059.03105 ms]: Job[78], START, G0-G3
DEBUG:root:Time[210842.99130 ms]: Job[77], END, 2261.8941910320136
DEBUG:root:Time[212490.35158 ms]: Job[79], ARRIVE, resnet50-1
DEBUG:root:Time[212490.35158 ms]: Job[79], START, G1
DEBUG:root:Time[213717.12044 ms]: Job[71], END, 20051.361072123313
DEBUG:root:Time[216049.13158 ms]: Job[79], END, 3558.779999999999
DEBUG:root:Time[230298.76733 ms]: Job[78], END, 20239.736276801676
DEBUG:root:Time[230391.65736 ms]: Job[72], END, 36263.60093567261
